0.72,2.03,-1.31,1.31,0.06,0.17,0.69,1.94,1.93,1.22,0.71,2.29,0.21,0.14,1.91,1.21,2
1.2,1.3,-0.1,-0.9,0.1,0.11,1.13,1.22,1.23,1.21,0.02,0.98,0.14,0.13,1.2,1.18,2
1.08,3.51,-2.43,0.43,0.14,0.44,1.01,3.29,2.19,0.74,1.45,-3.45,0.12,0.04,2.03,0.69,1
2.1,3.52,-1.42,-0.58,0.16,0.27,2.03,3.41,1.63,1.59,0.04,0.96,0.16,0.16,1.56,1.52,3
0.74,2.19,-1.45,3.45,0.09,0.27,0.69,2.03,2.03,0.72,1.31,-1.31,0.17,0.06,1.94,0.69,3
1.14,1.79,-0.65,1.65,0.1,0.15,1.14,1.79,3.52,2.1,1.42,0.58,0.27,0.16,3.41,2.03,2
1.21,1.23,-0.02,-0.98,0.1,0.1,1.18,1.2,3.51,1.08,2.43,-0.43,0.23,0.07,3.29,1.01,3
1.22,1.93,-0.71,-2.29,0.14,0.21,1.21,1.91,1.79,1.14,0.65,-1.65,0.18,0.11,1.79,1.14,2
1.59,1.63,-0.04,-0.96,0.2,0.2,1.52,1.56,1.3,1.2,0.1,0.9,0.16,0.15,1.22,1.13,3
2.56,1.76,0.8,2.2,0.15,0.1,1.27,0.88,1.86,3.6,-1.74,2.74,0.14,0.28,0.87,1.68,1
1.57,2.44,-0.87,1.87,0.1,0.16,0.77,1.2,2.83,3.01,-0.18,1.18,0.09,0.1,1.38,1.46,1
5.45,1.31,4.14,0.86,0.15,0.04,2.64,0.63,3.34,6.04,-2.7,-1.3,0.12,0.21,1.62,2.92,1
3.05,2.62,0.43,-1.43,0.13,0.11,1.52,1.3,4.83,5.07,-0.24,0.24,0.17,0.18,2.22,2.33,1
2.7,3.19,-0.49,-2.51,0.09,0.11,1.34,1.58,1.26,2.66,-1.4,1.4,0.07,0.15,0.62,1.3,1
4.15,2.83,1.32,1.68,0.18,0.12,2,1.36,1.86,3.02,-1.16,4.16,0.14,0.23,0.87,1.42,2
4.74,3.79,0.95,1.05,0.24,0.19,2.27,1.81,3.41,2.19,1.22,-4.22,0.14,0.09,1.62,1.04,1
3.44,1.84,1.6,-0.6,0.14,0.08,1.63,0.87,2.43,1.64,0.79,-1.79,0.08,0.05,1.17,0.79,2
3.75,4.49,-0.74,-3.26,0.13,0.15,1.71,2.05,1.44,3.17,-1.73,-2.27,0.09,0.2,0.71,1.57,2
2.91,4.11,-1.2,-2.8,0.12,0.16,0.94,1.33,5.13,4.83,0.3,-0.3,0.16,0.15,1.69,1.59,2
2.95,2.39,0.56,-1.56,0.07,0.06,0.94,0.77,2.4,5.47,-3.07,2.07,0.07,0.16,0.77,1.75,1
7.04,7.15,-0.11,-0.89,0.16,0.16,2.19,2.23,4.08,2.07,2.01,2.99,0.16,0.08,1.35,0.69,2
3.65,5.32,-1.67,1.67,0.08,0.12,1.17,1.7,4.19,2.36,1.83,-0.83,0.11,0.06,1.33,0.75,3
2.6,5.03,-2.43,5.43,0.11,0.22,0.82,1.59,6.37,5.26,1.11,1.89,0.19,0.15,2.04,1.68,1
6.16,3.57,2.59,0.41,0.17,0.1,1.99,1.15,4.69,5.96,-1.27,-2.73,0.11,0.15,1.44,1.82,3
4.88,3.82,1.06,-5.06,0.12,0.1,1.55,1.21,7.61,2.13,5.48,1.52,0.15,0.04,2.44,0.68,3
4.16,8.2,-4.04,-1.96,0.13,0.26,1.33,2.63,3.88,3.26,0.62,1.38,0.12,0.1,1.25,1.05,1
2.17,5.12,-2.95,1.95,0.12,0.28,0.69,1.63,5.51,4.33,1.18,-3.18,0.13,0.1,1.78,1.4,2
6.04,4.81,1.23,0.77,0.13,0.1,1.44,1.15,6.39,7.36,-0.97,5.97,0.17,0.19,1.53,1.76,1
10.47,2.62,7.85,1.15,0.16,0.04,2.52,0.63,6.1,7.17,-1.07,0.07,0.1,0.12,1.47,1.73,2
3.02,6.98,-3.96,0.96,0.07,0.17,0.72,1.68,9.77,8.42,1.35,-2.35,0.16,0.14,2.31,1.99,3
7.9,7.01,0.89,-2.89,0.15,0.13,1.84,1.63,5.37,6.68,-1.31,-4.69,0.11,0.13,1.29,1.6,1
6.27,6.18,0.09,-0.09,0.13,0.13,1.55,1.53,5.91,8.75,-2.84,-2.16,0.12,0.18,1.43,2.11,3
4.43,5.01,-0.58,1.58,0.1,0.12,1.07,1.22,7.21,6.78,0.43,0.57,0.13,0.13,1.75,1.64,2
5.35,4.8,0.55,4.45,0.16,0.14,1.33,1.19,4.46,3.01,1.45,-0.45,0.08,0.05,1.07,0.72,1
8.7,9.05,-0.35,1.35,0.18,0.18,2.1,2.18,4.09,6.89,-2.8,1.8,0.16,0.27,0.98,1.65,1
7.28,6.25,1.03,-3.03,0.14,0.12,1.77,1.52,4.26,5.25,-0.99,-3.01,0.12,0.15,1.04,1.28,1
7.44,9.29,-1.85,4.85,0.16,0.19,1.42,1.78,12.16,3.6,8.56,0.44,0.15,0.04,2.35,0.7,1
4.6,6.37,-1.77,-4.23,0.08,0.11,0.89,1.23,7.98,7.75,0.23,-1.23,0.12,0.12,1.57,1.52,1
11.81,10.85,0.96,0.04,0.15,0.14,2.23,2.05,10.26,6.75,3.51,-3.51,0.15,0.1,2,1.31,3
6.28,8.53,-2.25,-4.75,0.1,0.13,1.21,1.65,4.83,6.3,-1.47,2.47,0.09,0.12,0.93,1.21,1
4.76,8.23,-3.47,-2.53,0.11,0.18,0.93,1.61,7.97,5.86,2.11,1.89,0.13,0.1,1.52,1.12,1
8.5,7.18,1.32,-0.32,0.13,0.11,1.64,1.38,11.37,10.53,0.84,2.16,0.16,0.15,2.2,2.04,2
7.48,10.46,-2.98,-1.02,0.14,0.2,1.44,2.02,8.71,4.94,3.77,8.23,0.16,0.09,1.73,0.98,3
5.57,9.56,-3.99,0.99,0.15,0.26,1.07,1.84,5.45,9.02,-3.57,-1.43,0.1,0.16,1.04,1.73,1
7.08,8.86,-1.78,0.78,0.1,0.12,1.37,1.71,9.75,7.92,1.83,-2.83,0.15,0.12,1.84,1.5,1
9.23,8.2,1.03,1.97,0.12,0.11,1.47,1.31,9.16,8.12,1.04,-0.04,0.13,0.11,1.47,1.3,1
5.77,7.59,-1.82,1.82,0.08,0.11,0.93,1.22,9.24,11.07,-1.83,6.83,0.17,0.21,1.47,1.76,2
12.25,6.4,5.85,8.15,0.18,0.09,2.02,1.05,10.27,10.7,-0.43,2.43,0.11,0.12,1.66,1.73,1
9,9.79,-0.79,-3.21,0.12,0.13,1.48,1.6,7.57,9.47,-1.9,-4.1,0.1,0.12,1.22,1.53,3
